Id;Year;Zoonoses;NoDeaths;Animal Reservoir
1;1918;Spanish Flu;50000000;Birds
2;1937;West NileVirus;15000;Mosquitoes
3;1957;Asian Flu  ;100000;Birds
4;1968;Hong Kong Flu;700000;Birds
5;1976;Ebola Virus;14693;Bats
6;1981;HIV;30000000;Primates
7;1994;Hendra Virus;4;Bats
8;1997;Avian Flu;371;Birds
9;1999;Nipah Virus;265;Bats
10;2002;SARS coronavirus;774;Bats
11;2009;Swine Flu;200000;Pigs
12;2012;MERS coronavirus;858;Bats
13;2013;Avian Flu;616;Birds 
14;2015;Zika Virus;59;Primates
15;2019;Covid19;1006985;Bats
